title,author,runtime
Threshold,Will Wight,Length: 8 hrs and 35 mins
Mushoku Tensei: Redundant Reincarnation (Light Novel) Vol. 1,Cliff Kurt,Length: 5 hrs and 18 mins
"Azarinth Healer, Book Four",Rhaegar,Length: 23 hrs and 2 mins
Mark of the Fool 7,J.M. Clarke,Length: 21 hrs and 27 mins
Never Flinch,Stephen King,Length: 20 hrs
Wiedergeburt,Brandon Varnell,Length: 9 hrs and 21 mins
Magic Shifts [Dramatized Adaptation],Ilona Andrews,Length: 10 hrs
Green,Jay Bell,Length: 12 hrs and 55 mins
Frosted by the Girl Next Door,Lula Larkin,Length: 10 hrs and 42 mins
A Queen of Ice,Elise Kova,Length: 12 hrs and 14 mins
The War of the Noobs,Ryan Rimmel,Length: 17 hrs and 46 mins
The Runesmith,Ivan Kal,Length: 37 hrs and 45 mins
Daughter of the Dragon,Michael G. Manning,Length: 15 hrs
Fertile Valley 1,Annabelle Hawthorne,Length: 10 hrs and 10 mins
Prepper Nation,Tom Abrahams,Length: 9 hrs and 45 mins
Academy of Silence,Edie Skye,Length: 10 hrs and 33 mins
Anathema,Keri Lake,Length: 21 hrs and 18 mins
An Audacious Woman,Sarah F. Noel,Length: 9 hrs and 25 mins
Leveling Up the World 7,L. Eclaire,Length: 20 hrs and 57 mins
On Democracies and Death Cults,Douglas Murray,Length: 12 hrs
The Let Them Theory,Mel Robbins,Length: Not Yet Known
Starfall,Joshua Dalzelle,Length: 9 hrs and 9 mins
The Light Remains,Rhys Dylan,Length: 8 hrs and 38 mins
The Case of the Poetic Bird Dog,John R. Erickson,Length: 2 hrs and 26 mins
Dungeons of the Gods,Road Warrior,Length: 16 hrs and 55 mins
Master of the Monsterverse: Complete Omnibus (1-6),Daniel Wisniewski,Length: 40 hrs and 1 min
Classroom of the Elite: Year 2 (Light Novel) Vol. 4,Zion Jang,Length: 10 hrs and 31 mins
Sober on a Drunk Planet: Stoic Sobriety,Sean Alexander,Length: 4 hrs and 3 mins
The Anaconda Downstairs,Amy Award,Length: 8 hrs and 25 mins
Gone Nova,J.N. Chaney,Length: 9 hrs and 52 mins
Positive Affirmations for Black Women,Alisha Kapani,Length: 10 hrs
This Inevitable Ruin,Matt Dinniman,Length: Not Yet Known
Sanctuary 2.0,Apollos Thorne,Length: 15 hrs and 10 mins
Fortunate Son,Caimh McDonnell,Length: 9 hrs and 26 mins
The Christmas Wife,L. Steele,Length: 38 hrs and 36 mins
Unnatural (Enlightenment),Simon Goldhill,Length: 7 hrs and 26 mins
Rise of the Living Forge 2,Peter Berkrot,Length: 15 hrs and 40 mins
The Devils,Steven Pacey,Length: 23 hrs
Sons of Valor IV: False Flag,Brian Andrews,Length: 11 hrs and 30 mins
That Time I Got Reincarnated and Became the World’s Strongest Mage,Dalton Bosun,Length: 7 hrs and 5 mins
The Let Them Theory,Mel Robbins,Length: Not Yet Known
Starfall,Joshua Dalzelle,Length: 9 hrs and 9 mins
The Light Remains,Rhys Dylan,Length: 8 hrs and 38 mins
